Emotions,Path
angry,ALL/DC_a01.wav
angry,ALL/DC_a02.wav
angry,ALL/DC_a03.wav
angry,ALL/DC_a04.wav
angry,ALL/DC_a05.wav
angry,ALL/DC_a06.wav
angry,ALL/DC_a07.wav
angry,ALL/DC_a08.wav
angry,ALL/DC_a09.wav
angry,ALL/DC_a10.wav
angry,ALL/DC_a11.wav
angry,ALL/DC_a12.wav
angry,ALL/DC_a13.wav
angry,ALL/DC_a14.wav
angry,ALL/DC_a15.wav
disgust,ALL/DC_d01.wav
disgust,ALL/DC_d02.wav
disgust,ALL/DC_d03.wav
disgust,ALL/DC_d04.wav
disgust,ALL/DC_d05.wav
disgust,ALL/DC_d06.wav
disgust,ALL/DC_d07.wav
disgust,ALL/DC_d08.wav
disgust,ALL/DC_d09.wav
disgust,ALL/DC_d10.wav
disgust,ALL/DC_d11.wav
disgust,ALL/DC_d12.wav
disgust,ALL/DC_d13.wav
disgust,ALL/DC_d14.wav
disgust,ALL/DC_d15.wav
fearful,ALL/DC_f01.wav
fearful,ALL/DC_f02.wav
fearful,ALL/DC_f03.wav
fearful,ALL/DC_f04.wav
fearful,ALL/DC_f05.wav
fearful,ALL/DC_f06.wav
fearful,ALL/DC_f07.wav
fearful,ALL/DC_f08.wav
fearful,ALL/DC_f09.wav
fearful,ALL/DC_f10.wav
fearful,ALL/DC_f11.wav
fearful,ALL/DC_f12.wav
fearful,ALL/DC_f13.wav
fearful,ALL/DC_f14.wav
fearful,ALL/DC_f15.wav
happy,ALL/DC_h01.wav
happy,ALL/DC_h02.wav
happy,ALL/DC_h03.wav
happy,ALL/DC_h04.wav
happy,ALL/DC_h05.wav
happy,ALL/DC_h06.wav
happy,ALL/DC_h07.wav
happy,ALL/DC_h08.wav
happy,ALL/DC_h09.wav
happy,ALL/DC_h10.wav
happy,ALL/DC_h11.wav
happy,ALL/DC_h12.wav
happy,ALL/DC_h13.wav
happy,ALL/DC_h14.wav
happy,ALL/DC_h15.wav
neutral,ALL/DC_n01.wav
neutral,ALL/DC_n02.wav
neutral,ALL/DC_n03.wav
neutral,ALL/DC_n04.wav
neutral,ALL/DC_n05.wav
neutral,ALL/DC_n06.wav
neutral,ALL/DC_n07.wav
neutral,ALL/DC_n08.wav
neutral,ALL/DC_n09.wav
neutral,ALL/DC_n10.wav
neutral,ALL/DC_n11.wav
neutral,ALL/DC_n12.wav
neutral,ALL/DC_n13.wav
neutral,ALL/DC_n14.wav
neutral,ALL/DC_n15.wav
neutral,ALL/DC_n16.wav
neutral,ALL/DC_n17.wav
neutral,ALL/DC_n18.wav
neutral,ALL/DC_n19.wav
neutral,ALL/DC_n20.wav
neutral,ALL/DC_n21.wav
neutral,ALL/DC_n22.wav
neutral,ALL/DC_n23.wav
neutral,ALL/DC_n24.wav
neutral,ALL/DC_n25.wav
neutral,ALL/DC_n26.wav
neutral,ALL/DC_n27.wav
neutral,ALL/DC_n28.wav
neutral,ALL/DC_n29.wav
neutral,ALL/DC_n30.wav
sad,ALL/DC_sa01.wav
sad,ALL/DC_sa02.wav
sad,ALL/DC_sa03.wav
sad,ALL/DC_sa04.wav
sad,ALL/DC_sa05.wav
sad,ALL/DC_sa06.wav
sad,ALL/DC_sa07.wav
sad,ALL/DC_sa08.wav
sad,ALL/DC_sa09.wav
sad,ALL/DC_sa10.wav
sad,ALL/DC_sa11.wav
sad,ALL/DC_sa12.wav
sad,ALL/DC_sa13.wav
sad,ALL/DC_sa14.wav
sad,ALL/DC_sa15.wav
angry,ALL/JE_a01.wav
angry,ALL/JE_a02.wav
angry,ALL/JE_a03.wav
angry,ALL/JE_a04.wav
angry,ALL/JE_a05.wav
angry,ALL/JE_a06.wav
angry,ALL/JE_a07.wav
angry,ALL/JE_a08.wav
angry,ALL/JE_a09.wav
angry,ALL/JE_a10.wav
angry,ALL/JE_a11.wav
angry,ALL/JE_a12.wav
angry,ALL/JE_a13.wav
angry,ALL/JE_a14.wav
angry,ALL/JE_a15.wav
disgust,ALL/JE_d01.wav
disgust,ALL/JE_d02.wav
disgust,ALL/JE_d03.wav
disgust,ALL/JE_d04.wav
disgust,ALL/JE_d05.wav
disgust,ALL/JE_d06.wav
disgust,ALL/JE_d07.wav
disgust,ALL/JE_d08.wav
disgust,ALL/JE_d09.wav
disgust,ALL/JE_d10.wav
disgust,ALL/JE_d11.wav
disgust,ALL/JE_d12.wav
disgust,ALL/JE_d13.wav
disgust,ALL/JE_d14.wav
disgust,ALL/JE_d15.wav
fearful,ALL/JE_f01.wav
fearful,ALL/JE_f02.wav
fearful,ALL/JE_f03.wav
fearful,ALL/JE_f04.wav
fearful,ALL/JE_f05.wav
fearful,ALL/JE_f06.wav
fearful,ALL/JE_f07.wav
fearful,ALL/JE_f08.wav
fearful,ALL/JE_f09.wav
fearful,ALL/JE_f10.wav
fearful,ALL/JE_f11.wav
fearful,ALL/JE_f12.wav
fearful,ALL/JE_f13.wav
fearful,ALL/JE_f14.wav
fearful,ALL/JE_f15.wav
happy,ALL/JE_h01.wav
happy,ALL/JE_h02.wav
happy,ALL/JE_h03.wav
happy,ALL/JE_h04.wav
happy,ALL/JE_h05.wav
happy,ALL/JE_h06.wav
happy,ALL/JE_h07.wav
happy,ALL/JE_h08.wav
happy,ALL/JE_h09.wav
happy,ALL/JE_h10.wav
happy,ALL/JE_h11.wav
happy,ALL/JE_h12.wav
happy,ALL/JE_h13.wav
happy,ALL/JE_h14.wav
happy,ALL/JE_h15.wav
neutral,ALL/JE_n01.wav
neutral,ALL/JE_n02.wav
neutral,ALL/JE_n03.wav
neutral,ALL/JE_n04.wav
neutral,ALL/JE_n05.wav
neutral,ALL/JE_n06.wav
neutral,ALL/JE_n07.wav
neutral,ALL/JE_n08.wav
neutral,ALL/JE_n09.wav
neutral,ALL/JE_n10.wav
neutral,ALL/JE_n11.wav
neutral,ALL/JE_n12.wav
neutral,ALL/JE_n13.wav
neutral,ALL/JE_n14.wav
neutral,ALL/JE_n15.wav
neutral,ALL/JE_n16.wav
neutral,ALL/JE_n17.wav
neutral,ALL/JE_n18.wav
neutral,ALL/JE_n19.wav
neutral,ALL/JE_n20.wav
neutral,ALL/JE_n21.wav
neutral,ALL/JE_n22.wav
neutral,ALL/JE_n23.wav
neutral,ALL/JE_n24.wav
neutral,ALL/JE_n25.wav
neutral,ALL/JE_n26.wav
neutral,ALL/JE_n27.wav
neutral,ALL/JE_n28.wav
neutral,ALL/JE_n29.wav
neutral,ALL/JE_n30.wav
sad,ALL/JE_sa01.wav
sad,ALL/JE_sa02.wav
sad,ALL/JE_sa03.wav
sad,ALL/JE_sa04.wav
sad,ALL/JE_sa05.wav
sad,ALL/JE_sa06.wav
sad,ALL/JE_sa07.wav
sad,ALL/JE_sa08.wav
sad,ALL/JE_sa09.wav
sad,ALL/JE_sa10.wav
sad,ALL/JE_sa11.wav
sad,ALL/JE_sa12.wav
sad,ALL/JE_sa13.wav
sad,ALL/JE_sa14.wav
sad,ALL/JE_sa15.wav
angry,ALL/JK_a01.wav
angry,ALL/JK_a02.wav
angry,ALL/JK_a03.wav
angry,ALL/JK_a04.wav
angry,ALL/JK_a05.wav
angry,ALL/JK_a06.wav
angry,ALL/JK_a07.wav
angry,ALL/JK_a08.wav
angry,ALL/JK_a09.wav
angry,ALL/JK_a10.wav
angry,ALL/JK_a11.wav
angry,ALL/JK_a12.wav
angry,ALL/JK_a13.wav
angry,ALL/JK_a14.wav
angry,ALL/JK_a15.wav
disgust,ALL/JK_d01.wav
disgust,ALL/JK_d02.wav
disgust,ALL/JK_d03.wav
disgust,ALL/JK_d04.wav
disgust,ALL/JK_d05.wav
disgust,ALL/JK_d06.wav
disgust,ALL/JK_d07.wav
disgust,ALL/JK_d08.wav
disgust,ALL/JK_d09.wav
disgust,ALL/JK_d10.wav
disgust,ALL/JK_d11.wav
disgust,ALL/JK_d12.wav
disgust,ALL/JK_d13.wav
disgust,ALL/JK_d14.wav
disgust,ALL/JK_d15.wav
fearful,ALL/JK_f01.wav
fearful,ALL/JK_f02.wav
fearful,ALL/JK_f03.wav
fearful,ALL/JK_f04.wav
fearful,ALL/JK_f05.wav
fearful,ALL/JK_f06.wav
fearful,ALL/JK_f07.wav
fearful,ALL/JK_f08.wav
fearful,ALL/JK_f09.wav
fearful,ALL/JK_f10.wav
fearful,ALL/JK_f11.wav
fearful,ALL/JK_f12.wav
fearful,ALL/JK_f13.wav
fearful,ALL/JK_f14.wav
fearful,ALL/JK_f15.wav
happy,ALL/JK_h01.wav
happy,ALL/JK_h02.wav
happy,ALL/JK_h03.wav
happy,ALL/JK_h04.wav
happy,ALL/JK_h05.wav
happy,ALL/JK_h06.wav
happy,ALL/JK_h07.wav
happy,ALL/JK_h08.wav
happy,ALL/JK_h09.wav
happy,ALL/JK_h10.wav
happy,ALL/JK_h11.wav
happy,ALL/JK_h12.wav
happy,ALL/JK_h13.wav
happy,ALL/JK_h14.wav
happy,ALL/JK_h15.wav
neutral,ALL/JK_n01.wav
neutral,ALL/JK_n02.wav
neutral,ALL/JK_n03.wav
neutral,ALL/JK_n04.wav
neutral,ALL/JK_n05.wav
neutral,ALL/JK_n06.wav
neutral,ALL/JK_n07.wav
neutral,ALL/JK_n08.wav
neutral,ALL/JK_n09.wav
neutral,ALL/JK_n10.wav
neutral,ALL/JK_n11.wav
neutral,ALL/JK_n12.wav
neutral,ALL/JK_n13.wav
neutral,ALL/JK_n14.wav
neutral,ALL/JK_n15.wav
neutral,ALL/JK_n16.wav
neutral,ALL/JK_n17.wav
neutral,ALL/JK_n18.wav
neutral,ALL/JK_n19.wav
neutral,ALL/JK_n20.wav
neutral,ALL/JK_n21.wav
neutral,ALL/JK_n22.wav
neutral,ALL/JK_n23.wav
neutral,ALL/JK_n24.wav
neutral,ALL/JK_n25.wav
neutral,ALL/JK_n26.wav
neutral,ALL/JK_n27.wav
neutral,ALL/JK_n28.wav
neutral,ALL/JK_n29.wav
neutral,ALL/JK_n30.wav
sad,ALL/JK_sa01.wav
sad,ALL/JK_sa02.wav
sad,ALL/JK_sa03.wav
sad,ALL/JK_sa04.wav
sad,ALL/JK_sa05.wav
sad,ALL/JK_sa06.wav
sad,ALL/JK_sa07.wav
sad,ALL/JK_sa08.wav
sad,ALL/JK_sa09.wav
sad,ALL/JK_sa10.wav
sad,ALL/JK_sa11.wav
sad,ALL/JK_sa12.wav
sad,ALL/JK_sa13.wav
sad,ALL/JK_sa14.wav
sad,ALL/JK_sa15.wav
angry,ALL/KL_a01.wav
angry,ALL/KL_a02.wav
angry,ALL/KL_a03.wav
angry,ALL/KL_a04.wav
angry,ALL/KL_a05.wav
angry,ALL/KL_a06.wav
angry,ALL/KL_a07.wav
angry,ALL/KL_a08.wav
angry,ALL/KL_a09.wav
angry,ALL/KL_a10.wav
angry,ALL/KL_a11.wav
angry,ALL/KL_a12.wav
angry,ALL/KL_a13.wav
angry,ALL/KL_a14.wav
angry,ALL/KL_a15.wav
disgust,ALL/KL_d01.wav
